	TF	Target	Label
630	30927	15400	1
968	12701	1	0
938	12154	1	0
1255	28001	3	0
152	8183	26018	1
334	15512	7756	1
63	3931	146	1
830	6374	7	0
1066	17884	4	0
1312	30692	19	0
278	14118	12154	1
235	12404	35540	1
238	12404	36967	1
1208	27123	3	0
771	3049	4	0
881	8183	15	0
885	8224	3	0
427	21626	9711	1
1367	34156	1	0
814	4614	3	0
962	12404	14	0
535	27203	28318	1
879	8183	4	0
1202	26632	3	0
502	26959	1508	1
1416	36415	6	0
158	8189	26349	1
1241	27341	11	0
598	29982	11740	1
1162	22929	3	0
1129	21187	3	0
1065	17884	8	0
466	23143	3562	1
318	15460	14423	1
700	35847	11911	1
151	8183	8100	1
550	27494	21829	1
633	31031	15460	1
239	12404	7860	1
312	15329	8183	1
691	35422	14423	1
110	6697	14462	1
90	4946	35319	1
453	22302	22395	1
1006	14462	14	0
87	4614	35760	1
1009	14462	7	0
1036	15506	7	0
570	28541	27341	1
790	3443	4	0
863	7540	3	0
137	7540	14423	1
899	8486	4	0
18	2371	31337	1
982	13337	4	0
918	9563	3	0
972	12722	7	0
961	12404	45	0
894	8456	4	0
57	3696	27018	1
900	8486	10	0
1224	27124	6	0
817	4614	6	0
458	22929	4110	1
1147	22072	1	0
426	21399	30567	1
1317	30927	10	0
688	35279	15029	1
315	15460	33882	1
821	4946	6	0
1328	31265	3	0
134	7540	35422	1
1376	35379	3	0
642	31265	30776	1
1061	17835	3	0
1285	29687	4	0
527	27125	21692	1
292	14462	8342	1
916	9360	4	0
518	27124	5697	1
1393	36175	8	0
663	31705	27334	1
310	15081	36119	1
20	2419	12154	1
172	8486	2814	1
544	27341	26349	1
181	8818	2921	1
995	14118	3	0
66	4020	3118	1
497	26518	3125	1
604	30123	31890	1
501	26684	15060	1
103	6520	33895	1
217	12154	7390	1
1269	28541	14	0
1142	22071	9	0
443	22072	31655	1
46	3443	27324	1
1373	34737	6	0
692	35422	36851	1
78	4588	1711	1
126	7390	4400	1
1347	31705	3	0
897	8486	1	0
1175	23143	8	0
1007	14462	10	0
1218	27124	15	0
774	3122	1	0
941	12404	16	0
1229	27125	14	0
62	3921	9334	1
416	19576	3443	1
421	20941	28553	1
1201	26632	7	0
1172	23143	1	0
1395	36293	3	0
82	4614	2980	1
891	8401	8	0
3	5	15508	1
845	6834	8	0
728	36400	29409	1
574	28541	14118	1
736	36454	30828	1
478	25166	7317	1
1141	22071	1	0
113	6834	25166	1
1191	26349	1	0
594	29687	28081	1
429	21701	23309	1
67	4020	2921	1
1013	14554	3	0
631	30927	8474	1
1185	25191	1	0
444	22072	8224	1
127	7390	21350	1
166	8401	7540	1
1232	27125	11	0
1135	21701	6	0
1267	28541	6	0
119	6834	12753	1
880	8183	6	0
84	4614	25482	1
1263	28528	3	0
698	35776	21784	1
131	7540	9360	1
689	35379	9131	1
1339	31655	11	0
1037	15506	1	0
577	28638	21956	1
256	12931	27833	1
761	2574	3	0
911	9291	6	0
1146	22072	4	0
76	4309	13715	1
1230	27125	3	0
725	36400	8183	1
1244	27350	3	0
335	15512	12597	1
951	12404	28	0
492	26349	27341	1
556	27990	28528	1
1109	19196	1	0
629	30927	22408	1
532	27125	31337	1
480	25166	12816	1
599	30005	22229	1
355	17884	14511	1
284	14307	36759	1
1401	36335	1	0
1155	22302	8	0
1293	30005	1	0
1348	31705	14	0
1421	36454	1	0
1325	31053	1	0
735	36454	35760	1
211	12032	34950	1
1319	30927	4	0
549	27494	9728	1
305	14753	19196	1
1197	26349	8	0
1240	27341	10	0
1186	25855	3	0
533	27130	8183	1
839	6697	6	0
571	28541	26349	1
370	18324	30943	1
922	9563	6	0
1238	27341	3	0
232	12404	27194	1
260	13131	19165	1
576	28638	7706	1
703	35847	32266	1
1399	36295	4	0
1073	18041	1	0
588	29687	51	1
1127	20941	3	0
967	12701	7	0
1158	22302	7	0
504	27011	25716	1
1288	29687	6	0
8	978	34392	1
1145	22072	11	0
121	7382	23803	1
227	12404	9202	1
162	8241	23425	1
281	14278	31798	1
1222	27124	9	0
840	6697	1	0
1236	27203	1	0
245	12670	21349	1
843	6834	13	0
905	8682	11	0
197	9563	14956	1
939	12154	4	0
455	22302	8828	1
989	14010	4	0
301	14554	19460	1
349	17576	12032	1
636	31053	31798	1
1074	18041	6	0
1213	27123	8	0
1297	30121	6	0
272	14010	36295	1
1209	27123	7	0
800	4020	7	0
1406	36400	16	0
329	15512	21267	1
338	15527	146	1
1349	31705	11	0
1014	14554	10	0
379	18698	8795	1
153	8183	12701	1
992	14020	3	0
956	12404	8	0
0	5	7756	1
988	13591	4	0
307	14986	13614	1
201	9563	36352	1
637	31053	21358	1
616	30692	27990	1
517	27124	31171	1
952	12404	15	0
276	14020	15329	1
140	7775	15329	1
1030	15460	1	0
540	27341	32190	1
977	12931	6	0
1047	15512	23	0
378	18698	19017	1
904	8682	10	0
1016	14554	4	0
1017	14554	11	0
130	7390	5812	1
285	14307	14747	1
592	29687	18315	1
754	1987	6	0
313	15329	15058	1
476	23803	19039	1
974	12722	4	0
516	27124	15029	1
798	3852	4	0
625	30828	26806	1
794	3696	7	0
519	27124	15028	1
383	18698	7392	1
1082	18324	6	0
1303	30692	23	0
1083	18490	4	0
908	9142	1	0
742	5	3	0
223	12404	20879	1
523	27124	1862	1
1386	35776	4	0
632	30951	12154	1
1315	30828	6	0
384	18879	14733	1
933	12032	8	0
551	27833	20996	1
1077	18227	1	0
895	8456	3	0
68	4083	30927	1
413	19455	19196	1
1275	29039	6	0
1194	26349	13	0
215	12154	13253	1
829	6374	8	0
428	21626	6003	1
1278	29062	10	0
903	8682	4	0
1140	22071	7	0
512	27123	27125	1
715	36335	27123	1
536	27203	27557	1
302	14753	27324	1
93	5674	35319	1
287	14381	5595	1
525	27124	32188	1
729	36400	22852	1
766	2814	1	0
1124	19599	1	0
415	19455	8189	1
13	1987	8914	1
1027	15329	7	0
808	4083	7	0
1071	18037	3	0
953	12404	33	0
1362	33465	3	0
246	12701	3852	1
1034	15506	6	0
147	7860	14956	1
488	26349	8189	1
893	8401	1	0
1115	19447	9	0
145	7775	8342	1
857	7390	10	0
927	12032	16	0
484	25855	18879	1
573	28541	23139	1
647	31655	8183	1
538	27341	25600	1
926	9764	1	0
1282	29146	3	0
780	3192	7	0
1110	19196	15	0
282	14307	36903	1
1351	31705	13	0
711	36293	29748	1
408	19447	19019	1
702	35847	27557	1
81	4614	4110	1
669	31889	14462	1
316	15460	35422	1
363	18041	35870	1
1337	31655	16	0
1304	30692	14	0
615	30692	25908	1
229	12404	313	1
221	12404	26321	1
1203	26632	4	0
214	12154	28541	1
653	31655	27557	1
513	27123	5461	1
247	12701	3696	1
755	1987	1	0
1355	31889	4	0
381	18698	17691	1
471	23143	8665	1
1045	15512	7	0
1273	28638	3	0
290	14462	13178	1
499	26632	19080	1
530	27125	3279	1
49	3443	7381	1
552	27833	14812	1
1095	19019	1	0
423	21187	15512	1
850	7382	7	0
1412	36400	11	0
277	14022	12154	1
317	15460	9360	1
409	19447	15029	1
652	31655	19001	1
344	16142	19196	1
677	33882	35422	1
320	15506	2814	1
1343	31655	7	0
1411	36400	17	0
876	8119	1	0
1370	34590	4	0
405	19447	27123	1
1333	31493	3	0
341	15577	25908	1
811	4309	3	0
495	26349	22072	1
85	4614	7466	1
623	30722	1635	1
1248	27494	7	0
330	15512	18354	1
944	12404	18	0
1098	19196	6	0
1264	28528	1	0
449	22184	22364	1
1076	18080	3	0
986	13591	6	0
441	22072	19001	1
1250	27833	3	0
479	25166	14423	1
1035	15506	8	0
261	13131	18962	1
792	3599	3	0
1387	35847	7	0
456	22562	23130	1
1358	33240	4	0
168	8456	15381	1
1308	30692	20	0
288	14462	3595	1
1136	21701	3	0
494	26349	30951	1
1049	15512	16	0
1221	27124	8	0
976	12931	1	0
206	12032	31288	1
685	34737	22229	1
293	14462	24802	1
1364	33882	1	0
553	27833	22302	1
969	12701	4	0
775	3122	6	0
739	36747	15381	1
958	12404	13	0
737	36454	7466	1
1075	18080	4	0
257	12931	20996	1
697	35760	17636	1
1294	30005	3	0
1266	28541	8	0
283	14307	21784	1
286	14307	17572	1
1171	23143	11	0
1174	23143	6	0
380	18698	27355	1
1277	29062	1	0
649	31655	6966	1
983	13337	1	0
213	12032	7081	1
657	31705	28496	1
505	27011	3696	1
353	17835	14423	1
92	5442	32564	1
957	12404	30	0
388	19019	27124	1
920	9563	7	0
4	5	456	1
503	26986	11740	1
132	7540	8401	1
248	12701	7756	1
611	30692	30943	1
289	14462	36531	1
191	9334	3921	1
796	3696	1	0
563	28420	28241	1
942	12404	27	0
1286	29687	7	0
357	17884	22929	1
520	27124	5461	1
1060	17666	1	0
128	7390	19058	1
1053	15577	1	0
1242	27341	6	0
1105	19196	16	0
1139	22061	3	0
886	8224	4	0
102	6414	14462	1
778	3134	4	0
1344	31705	1	0
827	5697	3	0
531	27125	5461	1
822	4946	3	0
274	14014	30567	1
565	28444	28375	1
590	29687	35318	1
40	3134	12450	1
148	7864	14423	1
491	26349	12154	1
1372	34737	1	0
1330	31265	7	0
298	14554	19017	1
935	12154	11	0
1397	36293	4	0
439	22072	27203	1
1205	27011	3	0
250	12722	18186	1
365	18080	20996	1
1311	30692	4	0
683	34590	36121	1
809	4083	16	0
114	6834	330	1
171	8486	35760	1
271	13614	19599	1
241	12404	8253	1
670	33240	9360	1
1254	27862	3	0
603	30121	31890	1
859	7390	3	0
47	3443	4083	1
721	36400	30724	1
917	9360	7	0
311	15329	36295	1
1247	27494	9	0
609	30692	18962	1
1020	14753	4	0
882	8183	11	0
675	33465	4064	1
65	4020	27081	1
980	13131	8	0
1165	22929	6	0
173	8486	30828	1
785	3443	14	0
184	9224	6834	1
26	2814	13620	1
855	7390	6	0
1018	14753	1	0
1309	30692	9	0
1168	23139	4	0
602	30121	36352	1
39	3134	15086	1
1173	23143	10	0
1153	22184	4	0
328	15512	29211	1
1295	30121	7	0
237	12404	295	1
1057	16142	7	0
1188	25989	1	0
1300	30692	10	0
872	7775	3	0
1044	15512	4	0
228	12404	271	1
671	33240	14423	1
270	13591	8748	1
1143	22071	3	0
180	8682	36293	1
1227	27125	4	0
858	7390	7	0
654	31655	8224	1
265	13357	22737	1
1214	27123	15	0
59	3735	18037	1
309	15081	25716	1
442	22072	32266	1
244	12404	14753	1
704	36146	15512	1
763	2690	4	0
1008	14462	11	0
860	7540	4	0
964	12404	19	0
810	4083	15	0
425	21358	25431	1
117	6834	35520	1
1025	15081	3	0
31	3049	28790	1
620	30692	2318	1
1032	15460	6	0
205	9764	7382	1
34	3122	28528	1
714	36295	15058	1
526	27125	35319	1
15	1987	22057	1
9	1369	27828	1
834	6520	7	0
1340	31655	14	0
868	7775	16	0
1031	15460	4	0
43	3192	501	1
875	7775	15	0
998	14307	8	0
741	5	6	0
1	5	21187	1
255	12931	22302	1
510	27123	5697	1
50	3443	19196	1
862	7540	11	0
659	31705	28528	1
676	33882	15460	1
950	12404	11	0
1177	23319	1	0
640	31265	12663	1
